Sale Date,Brand,Model,Country,Price,Sales,Odometer
2019-03-12,Toyota,Yaris,UK,32589,4620,72526
2019-03-12,Mercedes,C-Class,Japan,62359,4880,104270
2019-03-13,Tesla,Model S,Germany,72696,1466,9944
2019-03-13,Mercedes,A-Class,USA,77011,4201,106731
2019-03-13,Audi,A3,Italy,39984,2259,102374
2019-03-14,BMW,X5,Spain,62965,2579,143789
2019-03-14,Toyota,Corolla,Spain,38570,2565,38536
2019-03-15,BMW,X5,Germany,63865,2661,21485
2019-03-15,Tesla,Model X,France,100168,3835,69412
2019-03-15,Volkswagen,Tiguan,UK,31087,1981,80629
2019-03-16,Ford,Explorer,USA,30422,554,110947
2019-03-16,Ford,Mustang,Spain,33216,4908,81534
2019-03-16,BMW,X3,Italy,45682,827,82258
2019-03-17,BMW,3 Series,Spain,42970,2643,97127
2019-03-17,Audi,A4,France,84771,664,137157
2019-03-17,Honda,Accord,Italy,34327,4925,21032
2019-03-18,Volkswagen,Golf,UK,38079,3952,46874
2019-03-18,Mercedes,A-Class,Germany,48705,2420,33236
2019-03-19,Mercedes,E-Class,Australia,55358,1909,104914
2019-03-19,Volkswagen,Tiguan,France,32596,1304,83757
2019-03-19,Hyundai,Tucson,Japan,21083,4077,114397
2019-03-20,Audi,A3,Australia,78285,3179,77642
2019-03-20,Volkswagen,Polo,USA,46529,3686,32856
2019-03-20,Hyundai,i30,Germany,22428,1804,65774
2019-03-21,Hyundai,Tucson,Poland,32925,2551,60961
2019-03-21,Nissan,Micra,Germany,24996,574,61133
2019-03-21,Ford,Explorer,Japan,42665,540,36653
2019-03-22,Ford,Fiesta,Japan,39525,2122,53756
2019-03-22,Nissan,Qashqai,Japan,34458,1145,34402
2019-03-23,Audi,A4,Canada,77924,954,45737
2019-03-23,Honda,Fit,Australia,20629,4725,106371
2019-03-23,Tesla,Model X,USA,64250,3863,26874
2019-03-24,Nissan,Micra,Japan,36234,2558,94599
2019-03-24,Mercedes,A-Class,Italy,71463,1750,126021
2019-03-24,Ford,Mustang,Spain,20853,2285,111019
2019-03-25,Mercedes,E-Class,UK,71987,4420,131789
2019-03-25,Ford,Fiesta,Australia,23617,2024,105424
2019-03-25,Hyundai,i30,USA,15240,560,79666
2019-03-26,Audi,A4,Canada,43350,4726,38145
2019-03-26,Honda,Fit,UK,36933,4697,93929
2019-03-27,BMW,3 Series,USA,70772,829,46408
2019-03-27,Volkswagen,Golf,Spain,18338,4562,56860
2019-03-27,Toyota,RAV4,Japan,17421,1209,75855
2019-03-28,Hyundai,Tucson,Canada,25918,4142,95600
2019-03-28,Nissan,Juke,Australia,20806,900,17182
2019-03-28,Nissan,Micra,Poland,32774,4353,42198
2019-03-29,Honda,CR-V,Canada,28122,2021,46786
2019-03-29,Volkswagen,Golf,Germany,21294,2919,30510
2019-03-29,BMW,5 Series,Australia,35614,1682,62375
2019-03-30,BMW,X3,Germany,51514,3483,33510
2019-03-30,Volkswagen,Tiguan,Spain,24640,4087,59620
2019-03-31,Tesla,Model 3,Germany,119859,4021,13502
2019-03-31,BMW,5 Series,Germany,72114,2304,37788
2019-03-31,Ford,Explorer,UK,23206,1313,21371
2019-04-01,Toyota,Corolla,Japan,27984,771,90431
2019-04-01,Hyundai,Tucson,Canada,17430,4935,17676
2019-04-01,Toyota,Camry,USA,17050,4000,38933
2019-04-02,Audi,A4,Germany,62913,4888,145566
2019-04-02,Toyota,Corolla,Spain,24155,2734,48001
2019-04-02,Honda,Civic,Japan,26130,1306,61638
2019-04-03,Audi,Q5,Germany,78280,1384,74754
2019-04-03,Nissan,Juke,Germany,33208,2765,87856
2019-04-04,Toyota,Camry,UK,29199,4345,86412
2019-04-04,Honda,Accord,Italy,36120,3670,67483
2019-04-04,Nissan,Micra,Australia,34850,3237,30425
2019-04-05,Toyota,Yaris,UK,22906,4569,59028
2019-04-05,Audi,A3,Canada,67443,2433,93300
2019-04-05,Ford,Mustang,Canada,29239,3182,102820
2019-04-06,Hyundai,Santa Fe,Canada,27774,4635,47520
2019-04-06,Honda,CR-V,Germany,24291,1474,74669
2019-04-07,Audi,Q5,Japan,35295,1413,116532
2019-04-07,Honda,Civic,USA,22233,3611,14516
2019-04-07,BMW,5 Series,UK,36591,3611,81719
2019-04-08,Toyota,Camry,Spain,22314,2883,24623
2019-04-08,Toyota,RAV4,Canada,21924,862,56756
2019-04-08,Hyundai,Elantra,Australia,34670,4238,7469
2019-04-09,Volkswagen,Golf,Australia,20808,3219,27890
2019-04-09,Honda,Accord,Italy,20998,2629,23787
2019-04-09,Ford,Focus,Italy,26177,3617,80418
2019-04-10,Toyota,Corolla,USA,22009,1507,75981
2019-04-10,BMW,5 Series,Italy,64257,1747,71246
2019-04-11,Honda,Civic,Poland,30507,2387,50539
2019-04-11,Ford,Explorer,USA,30859,1417,68888
2019-04-11,Nissan,Qashqai,USA,36953,3691,119682
2019-04-12,Ford,Focus,France,41338,2928,32083
2019-04-12,Volkswagen,Golf,USA,25813,4499,98106
2019-04-12,Nissan,Juke,Australia,27745,1953,18025
2019-04-13,Mercedes,A-Class,UK,46540,538,51846
2019-04-13,Mercedes,GLE,Germany,86766,3655,144165
2019-04-13,BMW,3 Series,Spain,67347,1488,63268
2019-04-14,Honda,CR-V,France,33133,2182,68416
2019-04-14,Honda,CR-V,USA,29857,4463,24982
2019-04-15,Ford,Fiesta,UK,42431,3556,112288
2019-04-15,Audi,Q7,Germany,68158,2755,95530
2019-04-15,Audi,Q7,Canada,35776,4176,149783
2019-04-16,Ford,Explorer,Italy,33343,1192,10655
2019-04-16,Nissan,Juke,France,16526,3724,52837
2019-04-16,Volkswagen,Golf,France,19763,1020,109101
2019-04-17,Hyundai,i30,Poland,19109,616,105737
2019-04-17,Audi,Q7,USA,66935,4360,93309
2019-04-17,Tesla,Model Y,Canada,109288,2543,25581
2019-04-18,Hyundai,i30,Poland,17762,2076,48408
2019-04-18,Hyundai,Tucson,Poland,30019,3220,79441
2019-04-19,Audi,Q7,Germany,79153,3348,122360
2019-04-19,Toyota,Corolla,France,39217,1417,57326
2019-04-19,Ford,Focus,Italy,16089,2209,80897
2019-04-20,Ford,Mustang,Germany,16105,1386,30003
2019-04-20,Toyota,Yaris,UK,32018,2425,88976
2019-04-20,Tesla,Model 3,Italy,71015,1052,69881
2019-04-21,Audi,Q7,Germany,33389,1607,71550
2019-04-21,Volkswagen,Tiguan,France,18207,1399,16653
2019-04-21,Nissan,Qashqai,Australia,16894,1014,61446
2019-04-22,Hyundai,i30,Australia,18109,2634,115091
2019-04-22,Hyundai,Elantra,UK,34022,1249,57579
2019-04-23,Audi,A3,Italy,32356,2835,124994
2019-04-23,Ford,Focus,Germany,32082,1161,42412
2019-04-23,Audi,A3,UK,44025,1254,26309
2019-04-24,Toyota,RAV4,USA,22005,658,64321
2019-04-24,Audi,Q7,Japan,42803,3279,35963
2019-04-24,Mercedes,GLE,Spain,88689,2212,90818
2019-04-25,Hyundai,i30,Australia,26003,3125,31958
2019-04-25,Ford,Explorer,Poland,28582,4509,34426
2019-04-25,BMW,5 Series,Poland,56116,4214,136503
2019-04-26,Honda,CR-V,USA,36975,2647,28279
2019-04-26,Volkswagen,Passat,Germany,18374,2840,69324
2019-04-27,Tesla,Model 3,Canada,80133,2025,35523
2019-04-27,Audi,Q5,Canada,65923,629,55893
2019-04-27,Toyota,RAV4,Canada,39603,2613,69674
2019-04-28,Honda,Civic,USA,38927,4523,102955
2019-04-28,Volkswagen,Tiguan,Australia,29970,1129,87189
2019-04-28,Nissan,Micra,Australia,27083,3932,47240
2019-04-29,Honda,Fit,Spain,30994,2860,87495
2019-04-29,Tesla,Model Y,Canada,80946,3234,11116
2019-04-30,Honda,Civic,USA,26847,2079,84671
2019-04-30,Tesla,Model Y,France,65337,2881,21001
2019-04-30,Hyundai,Santa Fe,Japan,14281,3344,85896
2019-05-01,Volkswagen,Tiguan,Poland,28724,4328,108482
2019-05-01,Honda,Civic,USA,18229,1535,46235
2019-05-01,Honda,Accord,Spain,22370,625,50272
2019-05-02,Ford,Fiesta,Canada,31398,3749,14110
2019-05-02,Tesla,Model Y,Italy,67911,4903,67799
2019-05-02,Ford,Focus,Italy,39559,2533,112860
2019-05-03,Toyota,RAV4,Spain,38196,2018,115677
2019-05-03,Ford,Fiesta,Italy,21238,2974,93009
2019-05-04,Ford,Focus,USA,40089,4219,70838
2019-05-04,Audi,A3,Spain,67208,3572,89134
2019-05-04,Honda,Fit,Japan,28865,3791,74569
2019-05-05,Ford,Explorer,Poland,32958,3732,78384
2019-05-05,Hyundai,i30,Canada,34212,3730,71024
2019-05-05,Mercedes,C-Class,Poland,69165,2167,14114
2019-05-06,Tesla,Model S,Germany,70426,1888,43218
2019-05-06,Toyota,Yaris,Poland,31838,2124,56924
2019-05-06,Toyota,Yaris,Australia,19806,2690,14108
2019-05-07,BMW,X3,Canada,52824,4900,149999
2019-05-07,Toyota,RAV4,Poland,26530,3515,65233
2019-05-08,Ford,Focus,Canada,25218,4365,11471
2019-05-08,Ford,Focus,Japan,17177,511,26636
2019-05-08,Ford,Explorer,Japan,43598,3871,51819
2019-05-09,Volkswagen,Passat,Germany,44987,1504,29596
2019-05-09,Volkswagen,Tiguan,Italy,22431,2338,98300
2019-05-09,Hyundai,i30,UK,26046,4919,83612
2019-05-10,Tesla,Model X,Germany,91413,1463,12151
2019-05-10,Honda,Fit,UK,40695,605,59691
2019-05-10,Ford,Focus,USA,26828,2637,91365
2019-05-11,Volkswagen,Tiguan,Australia,47734,4154,94022
2019-05-11,Audi,A3,Australia,38636,535,129891
2019-05-12,Mercedes,C-Class,Italy,99189,1908,81031
2019-05-12,Nissan,Juke,Italy,39669,1800,93789
2019-05-12,Hyundai,Tucson,Canada,30393,2925,109056
2019-05-13,Nissan,X-Trail,Spain,37199,1572,106529
2019-05-13,Honda,Fit,Germany,23807,4183,12227
2019-05-13,Volkswagen,Passat,Canada,18145,3540,112958
2019-05-14,Ford,Fiesta,USA,32866,3679,22633
2019-05-14,Toyota,RAV4,Japan,31336,1161,82231
2019-05-14,Honda,CR-V,UK,17987,2046,62993
2019-05-15,Hyundai,Tucson,Canada,21421,1269,22727
2019-05-15,BMW,X5,Japan,63482,2077,41910
2019-05-16,Hyundai,Elantra,Italy,25543,2849,65946
2019-05-16,Mercedes,C-Class,Poland,50793,1690,64253
2019-05-16,Mercedes,GLE,Japan,85408,572,41367
2019-05-17,Toyota,RAV4,Poland,17472,3546,77240
2019-05-17,Ford,Explorer,Japan,18475,4110,9255
2019-05-17,Honda,Fit,Poland,18735,2085,78794
2019-05-18,Tesla,Model Y,Australia,119069,3274,59443
2019-05-18,Ford,Focus,USA,36258,2901,14686
2019-05-18,Mercedes,GLE,Poland,84843,4119,52828
2019-05-19,Hyundai,Santa Fe,Australia,32877,1132,73619
2019-05-19,Toyota,Yaris,Spain,22123,3062,104983
2019-05-20,Volkswagen,Polo,UK,33463,2040,67711
2019-05-20,Toyota,Corolla,Japan,28395,4537,61273
2019-05-20,Audi,Q5,USA,80164,3331,20699
2019-05-21,Tesla,Model Y,Germany,61163,2101,23792
2019-05-21,Honda,Accord,Canada,35880,2225,23073
2019-05-21,Mercedes,C-Class,Italy,64837,1942,100517
2019-05-22,Tesla,Model Y,Japan,106929,4607,36982
2019-05-22,Toyota,Camry,Poland,36932,2326,81957
2019-05-23,Audi,A4,Poland,82290,4419,41750
2019-05-23,Mercedes,C-Class,Canada,52686,4725,140513
2019-05-23,Mercedes,C-Class,Australia,45656,2485,84520
2019-05-24,Tesla,Model 3,France,118822,1633,36055
2019-05-24,Tesla,Model S,France,56138,3030,56112
2019-05-24,Tesla,Model 3,Japan,62347,1036,36822
2019-05-25,Mercedes,A-Class,France,94929,3536,65099
2019-05-25,Tesla,Model Y,Germany,117146,2453,36497
2019-05-25,Hyundai,Tucson,Germany,27564,2450,100694
2019-05-26,Hyundai,Santa Fe,UK,26168,4744,75984
2019-05-26,BMW,X5,USA,67003,2138,64823
2019-05-27,Toyota,Corolla,Italy,16403,1319,73828
2019-05-27,Mercedes,GLE,Poland,92454,2008,42371
2019-05-27,BMW,X5,Poland,69317,2264,86373
2019-05-28,Honda,Accord,Italy,21481,2793,108141
2019-05-28,Honda,Accord,Italy,24993,1400,101320
2019-05-28,Honda,Accord,Germany,31828,2885,52076
2019-05-29,Mercedes,A-Class,UK,93744,2942,145870
2019-05-29,Honda,Fit,Italy,41345,3057,109131
2019-05-29,Ford,Explorer,Germany,37223,4304,31035
2019-05-30,Tesla,Model S,Japan,109041,2944,56824
2019-05-30,Hyundai,i30,USA,17191,892,95536
2019-05-31,Toyota,Camry,USA,38561,741,25281
2019-05-31,Audi,A3,Italy,57425,1275,61399
2019-05-31,Toyota,RAV4,USA,22099,4426,30431
2019-06-01,BMW,3 Series,USA,57614,2648,70920
2019-06-01,Volkswagen,Tiguan,USA,25788,4006,94570
2019-06-01,Audi,A3,Japan,46531,4827,125053
2019-06-02,Mercedes,E-Class,France,85454,3046,74027
2019-06-02,BMW,X5,Australia,64956,1272,114797
2019-06-02,Tesla,Model Y,Spain,50439,2073,33270
2019-06-03,Toyota,RAV4,Spain,35223,859,40144
2019-06-03,Ford,Mustang,Germany,41538,4132,55979
2019-06-04,Mercedes,C-Class,Canada,99560,4812,133257
2019-06-04,Volkswagen,Passat,Germany,32089,2696,90667
2019-06-04,Audi,A4,Poland,63548,2216,49071
2019-06-05,Ford,Mustang,Australia,29070,2820,63279
2019-06-05,Ford,Mustang,Canada,38168,4197,97949
2019-06-05,Mercedes,C-Class,France,86804,3743,103471
2019-06-06,BMW,5 Series,USA,47258,2067,130029
2019-06-06,Volkswagen,Tiguan,USA,22875,1756,48950
2019-06-06,Ford,Fiesta,Japan,31997,801,28911
2019-06-07,Volkswagen,Tiguan,Poland,43237,4830,63712
2019-06-07,Tesla,Model Y,Germany,58057,4808,58710
2019-06-08,Mercedes,E-Class,Germany,84638,1986,30567
2019-06-08,Tesla,Model X,Japan,112260,1876,65087
2019-06-08,BMW,X5,Poland,53450,522,39725
2019-06-09,Volkswagen,Polo,Canada,41679,3800,34806
2019-06-09,Audi,A4,Australia,66495,1784,48787
2019-06-09,Audi,Q5,Australia,74522,3020,144153
2019-06-10,Honda,Fit,Italy,31042,1422,81865
2019-06-10,Hyundai,i30,Canada,32931,3479,52701
2019-06-10,Nissan,Qashqai,Australia,26805,3583,31832
2019-06-11,Hyundai,Tucson,Japan,29379,3134,41751
2019-06-11,BMW,X5,Italy,89341,4395,92617
2019-06-12,Mercedes,E-Class,France,82003,2429,123175
2019-06-12,Tesla,Model X,Australia,112364,2523,59118
2019-06-12,Honda,Accord,Poland,22891,4783,38848
2019-06-13,Mercedes,A-Class,Italy,83590,3063,79122
2019-06-13,Audi,A3,Australia,59750,3447,46727
2019-06-13,Audi,A4,Germany,44226,3759,119458
2019-06-14,Toyota,RAV4,UK,27693,1163,47092
2019-06-14,Nissan,Qashqai,Japan,27166,1367,119367
2019-06-15,BMW,X3,France,40469,4778,147328
2019-06-15,Volkswagen,Golf,Germany,18830,2151,55288
2019-06-15,Hyundai,i30,Poland,24028,4756,64792
2019-06-16,Tesla,Model Y,France,75447,2510,62742
2019-06-16,Tesla,Model X,Italy,59472,3971,46796
2019-06-16,Hyundai,i30,Australia,16097,4196,113381
2019-06-17,Tesla,Model 3,Poland,98072,2400,23994
2019-06-17,Honda,CR-V,Australia,22017,2503,7096
2019-06-17,Honda,Accord,Japan,27595,2125,24715
2019-06-18,Volkswagen,Tiguan,Germany,37362,3339,73920
2019-06-18,Mercedes,C-Class,Canada,53493,1185,17531
2019-06-19,Hyundai,Santa Fe,France,27975,1931,79603
2019-06-19,Nissan,Qashqai,Poland,25435,662,39742
2019-06-19,Audi,A4,Poland,64782,2141,17896
2019-06-20,Tesla,Model Y,Canada,50347,2219,35314
2019-06-20,Mercedes,C-Class,Australia,90026,1189,112304
2019-06-20,Volkswagen,Passat,Germany,35055,1671,82454
2019-06-21,Volkswagen,Golf,Australia,29929,3039,107263
2019-06-21,Hyundai,Elantra,Australia,34054,2253,102239
2019-06-21,Toyota,RAV4,UK,37360,4979,47891
2019-06-22,Hyundai,Elantra,Canada,20304,1394,93553
2019-06-22,Hyundai,Santa Fe,Poland,33446,2836,67032
2019-06-23,Audi,A3,Germany,36171,2590,65718
2019-06-23,Tesla,Model 3,USA,112169,2017,17485
2019-06-23,Ford,Fiesta,Australia,29140,4088,88457
2019-06-24,Tesla,Model Y,Canada,113673,597,16407
2019-06-24,BMW,3 Series,Italy,62733,843,40651
